,Tarifa,Anio,Mes,Region,Cargo fijo,Verano,Invierno,Minimo
0, DAC,2022,ENERO,BajaCalifornia,126.12,$6.104,$5.244,25
1, DAC,2022,ENERO,BajaCaliforniaSur,126.12,$6.650,$5.244,25
2, DAC,2022,ENERO,Central,126.12,$6.279,,25
3, DAC,2022,ENERO,Noroeste,126.12,$5.883,,25
4, DAC,2022,ENERO,NorteyNoreste,126.12,$5.733,,25
5, DAC,2022,ENERO,SuryPeninsular,126.12,$5.822,,25
6, DAC,2022,FEBRERO,BajaCalifornia,127.18,$6.080,$5.224,25
7, DAC,2022,FEBRERO,BajaCaliforniaSur,127.18,$6.624,$5.224,25
8, DAC,2022,FEBRERO,Central,127.18,$6.255,,25
9, DAC,2022,FEBRERO,Noroeste,127.18,$5.860,,25
10, DAC,2022,FEBRERO,NorteyNoreste,127.18,$5.711,,25
11, DAC,2022,FEBRERO,SuryPeninsular,127.18,$5.799,,25
12, DAC,2022,MARZO,BajaCalifornia,127.88,$6.600,$5.671,25
13, DAC,2022,MARZO,BajaCaliforniaSur,127.88,$7.190,$5.671,25
14, DAC,2022,MARZO,Central,127.88,$6.790,,25
15, DAC,2022,MARZO,Noroeste,127.88,$6.361,,25
16, DAC,2022,MARZO,NorteyNoreste,127.88,$6.199,,25
17, DAC,2022,MARZO,SuryPeninsular,127.88,$6.295,,25
18, DAC,2022,ABRIL,BajaCalifornia,128.80,$6.398,$5.497,25
19, DAC,2022,ABRIL,BajaCaliforniaSur,128.80,$6.970,$5.497,25
20, DAC,2022,ABRIL,Central,128.80,$6.582,,25
21, DAC,2022,ABRIL,Noroeste,128.80,$6.166,,25
22, DAC,2022,ABRIL,NorteyNoreste,128.80,$6.009,,25
23, DAC,2022,ABRIL,SuryPeninsular,128.80,$6.102,,25
24, DAC,2022,MAYO,BajaCalifornia,130.10,$6.305,$5.417,25
25, DAC,2022,MAYO,BajaCaliforniaSur,130.10,$6.868,$5.417,25
26, DAC,2022,MAYO,Central,130.10,$6.486,,25
27, DAC,2022,MAYO,Noroeste,130.10,$6.076,,25
28, DAC,2022,MAYO,NorteyNoreste,130.10,$5.921,,25
29, DAC,2022,MAYO,SuryPeninsular,130.10,$6.013,,25
30, DAC,2022,JUNIO,BajaCalifornia,130.88,$6.939,$5.961,25
31, DAC,2022,JUNIO,BajaCaliforniaSur,130.88,$7.558,$5.961,25
32, DAC,2022,JUNIO,Central,130.88,$7.138,,25
33, DAC,2022,JUNIO,Noroeste,130.88,$6.687,,25
34, DAC,2022,JUNIO,NorteyNoreste,130.88,$6.516,,25
35, DAC,2022,JUNIO,SuryPeninsular,130.88,$6.617,,25
36, DAC,2022,JULIO,BajaCalifornia,132.12,$7.219,$6.202,25
37, DAC,2022,JULIO,BajaCaliforniaSur,132.12,$7.863,$6.202,25
38, DAC,2022,JULIO,Central,132.12,$7.426,,25
39, DAC,2022,JULIO,Noroeste,132.12,$6.957,,25
40, DAC,2022,JULIO,NorteyNoreste,132.12,$6.779,,25
41, DAC,2022,JULIO,SuryPeninsular,132.12,$6.884,,25
42, DAC,2022,AGOSTO,BajaCalifornia,132.97,$6.840,$5.876,25
43, DAC,2022,AGOSTO,BajaCaliforniaSur,132.97,$7.450,$5.876,25
44, DAC,2022,AGOSTO,Central,132.97,$7.036,,25
45, DAC,2022,AGOSTO,Noroeste,132.97,$6.592,,25
46, DAC,2022,AGOSTO,NorteyNoreste,132.97,$6.423,,25
47, DAC,2022,AGOSTO,SuryPeninsular,132.97,$6.523,,25
48, DAC,2022,SEPTIEMBRE,BajaCalifornia,133.61,$7.324,$6.291,25
49, DAC,2022,SEPTIEMBRE,BajaCaliforniaSur,133.61,$7.977,$6.291,25
50, DAC,2022,SEPTIEMBRE,Central,133.61,$7.533,,25
51, DAC,2022,SEPTIEMBRE,Noroeste,133.61,$7.058,,25
52, DAC,2022,SEPTIEMBRE,NorteyNoreste,133.61,$6.877,,25
53, DAC,2022,SEPTIEMBRE,SuryPeninsular,133.61,$6.984,,25
54, DAC,2022,OCTUBRE,BajaCalifornia,133.78,$7.235,$6.214,25
55, DAC,2022,OCTUBRE,BajaCaliforniaSur,133.78,$7.880,$6.214,25
56, DAC,2022,OCTUBRE,Central,133.78,$7.441,,25
57, DAC,2022,OCTUBRE,Noroeste,133.78,$6.972,,25
58, DAC,2022,OCTUBRE,NorteyNoreste,133.78,$6.793,,25
59, DAC,2022,OCTUBRE,SuryPeninsular,133.78,$6.899,,25
60, DAC,2021,ENERO,BajaCalifornia,113.70,$4.761,$4.088,25
61, DAC,2021,ENERO,BajaCaliforniaSur,113.70,$5.186,$4.088,25
62, DAC,2021,ENERO,Central,113.70,$4.897,,25
63, DAC,2021,ENERO,Noroeste,113.70,$4.587,,25
64, DAC,2021,ENERO,NorteyNoreste,113.70,$4.471,,25
65, DAC,2021,ENERO,SuryPeninsular,113.70,$4.540,,25
66, DAC,2021,FEBRERO,BajaCalifornia,113.22,$4.722,$4.055,25
67, DAC,2021,FEBRERO,BajaCaliforniaSur,113.22,$5.144,$4.055,25
68, DAC,2021,FEBRERO,Central,113.22,$4.857,,25
69, DAC,2021,FEBRERO,Noroeste,113.22,$4.550,,25
70, DAC,2021,FEBRERO,NorteyNoreste,113.22,$4.435,,25
71, DAC,2021,FEBRERO,SuryPeninsular,113.22,$4.503,,25
